timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-07-09T14:10:00+05:30,88.1,91.45,87.0,91.4,2379525,16950750,2025-07-09 14:10:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:10:00+05:30,46.75,47.8,44.4,45.05,3103350,20842950,2025-07-09 14:10:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:15:00+05:30,91.2,95.4,77.35,83.5,10357275,17208225,2025-07-09 14:15:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:15:00+05:30,45.15,54.85,42.35,49.05,14855400,20542575,2025-07-09 14:15:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:20:00+05:30,83.5,86.0,73.8,75.05,6324375,17320050,2025-07-09 14:20:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:20:00+05:30,48.95,56.1,47.15,54.85,8925075,20185800,2025-07-09 14:20:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:25:00+05:30,75.05,80.25,67.2,69.5,14129325,18533175,2025-07-09 14:25:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:25:00+05:30,54.95,65.0,50.8,62.2,23874975,18854175,2025-07-09 14:25:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:30:00+05:30,69.45,70.15,57.85,59.2,18463425,20553675,2025-07-09 14:30:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:30:00+05:30,62.05,86.0,61.2,82.65,33161325,15882375,2025-07-09 14:30:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:35:00+05:30,59.3,69.25,58.3,66.5,14042625,21970800,2025-07-09 14:35:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:35:00+05:30,82.65,85.15,63.45,66.45,17874450,14211900,2025-07-09 14:35:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:40:00+05:30,66.45,68.0,59.3,62.85,10024350,22384125,2025-07-09 14:40:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:40:00+05:30,66.6,75.9,65.3,70.2,10841775,15098025,2025-07-09 14:40:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:45:00+05:30,62.7,63.5,56.15,59.1,8859000,23343600,2025-07-09 14:45:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:45:00+05:30,70.1,78.5,69.4,75.5,11402400,15204525,2025-07-09 14:45:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:50:00+05:30,59.25,62.2,51.05,57.25,12583200,23601150,2025-07-09 14:50:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:50:00+05:30,75.45,90.9,71.4,76.15,17823750,13670025,2025-07-09 14:50:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T14:55:00+05:30,57.25,62.7,55.8,62.5,8512575,23344200,2025-07-09 14:55:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T14:55:00+05:30,76.0,81.35,68.0,68.5,8105475,13728225,2025-07-09 14:55:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:00:00+05:30,62.65,68.7,60.15,62.0,15577950,22871325,2025-07-09 15:00:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
2025-07-09T15:00:00+05:30,68.45,69.0,60.35,67.95,11555475,13595700,2025-07-09 15:00:00+05:30,2025-07-09,PE,25500,2025-07-10,NSE_FO|40050|10-07-2025,2025-07-09,False
2025-07-09T15:05:00+05:30,61.95,66.0,58.65,61.2,8782950,22811400,2025-07-09 15:05:00+05:30,2025-07-09,CE,25500,2025-07-10,NSE_FO|40049|10-07-2025,2025-07-09,False
