SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR,Gross_PnL,Costs
2025-09-19 11:50:00+05:30,2025-09-19 11:55:00+05:30,300,BUY_PE,25400,126.2,2025-09-19 12:55:00+05:30,109.29,SL Hit,109.29,109.29,False,-16.91,-1355.75,-1268.25,87.5
2025-09-19 13:05:00+05:30,2025-09-19 13:10:00+05:30,300,BUY_CE,25400,52.6,2025-09-19 14:00:00+05:30,60.6,Safe SL Hit,60.6,45.23,True,8.0,512.5,600.0,87.5
2025-09-19 14:05:00+05:30,2025-09-19 14:10:00+05:30,300,BUY_CE,25400,59.35,2025-09-19 14:20:00+05:30,50.76,SL Hit,50.76,50.76,False,-8.59,-731.75,-644.25,87.5
2025-09-22 10:30:00+05:30,2025-09-22 10:35:00+05:30,300,BUY_CE,25250,115.6,2025-09-22 11:30:00+05:30,92.15,SL Hit,92.15,92.15,False,-23.45,-1846.25,-1758.75,87.5
2025-09-22 12:40:00+05:30,2025-09-22 12:45:00+05:30,300,BUY_CE,25250,105.45,2025-09-22 13:30:00+05:30,90.82,SL Hit,90.82,90.82,False,-14.63,-1184.75,-1097.25,87.5
2025-09-22 13:45:00+05:30,2025-09-22 13:50:00+05:30,300,BUY_PE,25250,26.9,2025-09-22 14:45:00+05:30,80.54,ATR Trail Hit,80.54,21.58,True,53.64,3935.5,4023.0,87.5
2025-09-22 15:05:00+05:30,2025-09-22 15:10:00+05:30,300,BUY_PE,25250,67.65,2025-09-22 15:25:00+05:30,58.8,EOD Exit,45.19,45.19,False,-8.85,-751.25,-663.75,87.5
2025-09-23 10:15:00+05:30,2025-09-23 10:20:00+05:30,300,BUY_PE,25250,120.9,2025-09-23 10:25:00+05:30,130.9,Locked Profit Hit,130.9,95.9,True,10.0,662.5,750.0,87.5
2025-09-23 10:40:00+05:30,2025-09-23 10:45:00+05:30,300,BUY_PE,25250,118.7,2025-09-23 11:05:00+05:30,126.7,Safe SL Hit,126.7,93.7,True,8.0,512.5,600.0,87.5
2025-09-23 11:15:00+05:30,2025-09-23 11:20:00+05:30,300,BUY_PE,25250,158.5,2025-09-23 11:50:00+05:30,133.5,SL Hit,133.5,133.5,False,-25.0,-1962.5,-1875.0,87.5
2025-09-23 11:55:00+05:30,2025-09-23 12:00:00+05:30,300,BUY_PE,25250,130.1,2025-09-23 12:10:00+05:30,105.1,SL Hit,105.1,105.1,False,-25.0,-1962.5,-1875.0,87.5
2025-09-23 12:30:00+05:30,2025-09-23 12:35:00+05:30,300,BUY_CE,25250,16.2,2025-09-23 12:40:00+05:30,26.2,Locked Profit Hit,26.2,8.59,True,10.0,662.5,750.0,87.5
2025-09-23 13:00:00+05:30,2025-09-23 13:05:00+05:30,300,BUY_CE,25250,18.55,2025-09-23 13:35:00+05:30,28.55,Locked Profit Hit,28.55,3.43,True,10.0,662.5,750.0,87.5
2025-09-23 13:40:00+05:30,2025-09-23 13:45:00+05:30,300,BUY_CE,25250,22.6,2025-09-23 14:05:00+05:30,38.11,ATR Trail Hit,38.11,3.61,True,15.51,1075.75,1163.25,87.5
2025-09-23 14:20:00+05:30,2025-09-23 14:25:00+05:30,300,BUY_CE,25250,14.4,2025-09-23 15:25:00+05:30,0.05,EOD Exit,-10.6,-10.6,False,-14.35,-1163.75,-1076.25,87.5
2025-09-24 10:25:00+05:30,2025-09-24 10:30:00+05:30,300,BUY_PE,25100,89.85,2025-09-24 10:45:00+05:30,101.0,MACD/EMA Exit,97.85,71.28,True,11.15,748.75,836.25,87.5
2025-09-24 10:55:00+05:30,2025-09-24 11:00:00+05:30,300,BUY_PE,25100,96.2,2025-09-24 11:10:00+05:30,118.58,ATR Trail Hit,118.58,78.46,True,22.38,1591.0,1678.5,87.5
2025-09-24 11:20:00+05:30,2025-09-24 11:25:00+05:30,300,BUY_PE,25100,109.75,2025-09-24 12:10:00+05:30,91.74,SL Hit,91.74,91.74,False,-18.01,-1438.25,-1350.75,87.5
2025-09-24 12:15:00+05:30,2025-09-24 12:20:00+05:30,300,BUY_CE,25100,134.2,2025-09-24 13:15:00+05:30,158.36,ATR Trail Hit,158.36,121.52,True,24.16,1724.5,1812.0,87.5
2025-09-24 13:20:00+05:30,2025-09-24 13:25:00+05:30,300,BUY_CE,25100,156.1,2025-09-24 14:15:00+05:30,139.05,SL Hit,139.05,139.05,False,-17.05,-1366.25,-1278.75,87.5
2025-09-24 14:40:00+05:30,2025-09-24 14:45:00+05:30,300,BUY_PE,25100,89.95,2025-09-24 15:00:00+05:30,99.95,Locked Profit Hit,99.95,75.85,True,10.0,662.5,750.0,87.5
2025-09-24 15:05:00+05:30,2025-09-24 15:10:00+05:30,300,BUY_PE,25100,98.55,2025-09-24 15:25:00+05:30,95.4,EOD Exit,81.66,81.66,False,-3.15,-323.75,-236.25,87.5
2025-09-25 10:35:00+05:30,2025-09-25 10:40:00+05:30,300,BUY_PE,25050,99.45,2025-09-25 11:40:00+05:30,109.35,MACD/EMA Exit,107.45,79.65,True,9.9,655.0,742.5,87.5
2025-09-25 11:45:00+05:30,2025-09-25 11:50:00+05:30,300,BUY_PE,25050,106.55,2025-09-25 12:10:00+05:30,116.55,Locked Profit Hit,116.55,87.08,True,10.0,662.5,750.0,87.5
2025-09-25 12:15:00+05:30,2025-09-25 12:20:00+05:30,300,BUY_PE,25050,109.0,2025-09-25 12:45:00+05:30,119.0,Locked Profit Hit,119.0,87.86,True,10.0,662.5,750.0,87.5
2025-09-25 14:10:00+05:30,2025-09-25 14:15:00+05:30,300,BUY_PE,25050,112.6,2025-09-25 14:25:00+05:30,120.6,Safe SL Hit,120.6,94.01,True,8.0,512.5,600.0,87.5
2025-09-25 14:45:00+05:30,2025-09-25 14:50:00+05:30,300,BUY_PE,25050,122.7,2025-09-25 15:15:00+05:30,142.17,ATR Trail Hit,142.17,102.04,True,19.47,1372.75,1460.25,87.5
2025-09-26 10:15:00+05:30,2025-09-26 10:20:00+05:30,300,BUY_PE,24800,74.75,2025-09-26 11:30:00+05:30,82.75,Safe SL Hit,82.75,55.63,True,8.0,512.5,600.0,87.5
2025-09-26 11:45:00+05:30,2025-09-26 11:50:00+05:30,300,BUY_PE,24800,80.1,2025-09-26 13:55:00+05:30,153.17,ATR Trail Hit,153.17,64.84,True,73.07,5392.75,5480.25,87.5
2025-09-26 14:00:00+05:30,2025-09-26 14:05:00+05:30,300,BUY_PE,24800,170.35,2025-09-26 14:25:00+05:30,178.35,Safe SL Hit,178.35,145.35,True,8.0,512.5,600.0,87.5
2025-09-26 14:40:00+05:30,2025-09-26 14:45:00+05:30,300,BUY_PE,24800,155.5,2025-09-26 14:50:00+05:30,173.25,MACD/EMA Exit,165.5,130.5,True,17.75,1243.75,1331.25,87.5
2025-09-26 14:55:00+05:30,2025-09-26 15:00:00+05:30,300,BUY_PE,24800,164.2,2025-09-26 15:25:00+05:30,145.45,EOD Exit,139.2,139.2,False,-18.75,-1493.75,-1406.25,87.5
2025-09-29 10:15:00+05:30,2025-09-29 10:20:00+05:30,300,BUY_CE,24650,206.4,2025-09-29 10:45:00+05:30,181.4,SL Hit,181.4,181.4,False,-25.0,-1962.5,-1875.0,87.5
2025-09-29 10:55:00+05:30,2025-09-29 11:00:00+05:30,300,BUY_CE,24650,172.4,2025-09-29 11:05:00+05:30,180.4,Safe SL Hit,180.4,147.4,True,8.0,512.5,600.0,87.5
2025-09-29 12:00:00+05:30,2025-09-29 12:05:00+05:30,300,BUY_PE,24650,44.3,2025-09-29 12:15:00+05:30,52.3,Safe SL Hit,52.3,29.75,True,8.0,512.5,600.0,87.5
2025-09-29 12:20:00+05:30,2025-09-29 12:25:00+05:30,300,BUY_PE,24650,50.4,2025-09-29 12:55:00+05:30,60.4,Locked Profit Hit,60.4,34.21,True,10.0,662.5,750.0,87.5
2025-09-29 14:20:00+05:30,2025-09-29 14:25:00+05:30,300,BUY_CE,24650,133.3,2025-09-29 14:40:00+05:30,108.3,SL Hit,108.3,108.3,False,-25.0,-1962.5,-1875.0,87.5
2025-09-29 15:05:00+05:30,2025-09-29 15:10:00+05:30,300,BUY_PE,24650,48.75,2025-09-29 15:25:00+05:30,33.9,EOD Exit,33.82,33.82,False,-14.85,-1201.25,-1113.75,87.5
2025-09-30 10:25:00+05:30,2025-09-30 10:30:00+05:30,300,BUY_PE,24700,93.2,2025-09-30 10:40:00+05:30,107.29,ATR Trail Hit,107.29,68.2,True,14.09,969.25,1056.75,87.5
2025-09-30 11:25:00+05:30,2025-09-30 11:30:00+05:30,300,BUY_PE,24700,66.85,2025-09-30 11:50:00+05:30,75.1,MACD/EMA Exit,74.85,41.85,True,8.25,531.25,618.75,87.5
2025-09-30 11:55:00+05:30,2025-09-30 12:00:00+05:30,300,BUY_PE,24700,78.7,2025-09-30 12:20:00+05:30,53.7,SL Hit,53.7,53.7,False,-25.0,-1962.5,-1875.0,87.5
2025-09-30 12:25:00+05:30,2025-09-30 12:30:00+05:30,300,BUY_CE,24700,30.6,2025-09-30 13:20:00+05:30,15.79,SL Hit,15.79,15.79,False,-14.81,-1198.25,-1110.75,87.5
2025-09-30 13:50:00+05:30,2025-09-30 13:55:00+05:30,300,BUY_PE,24700,76.9,2025-09-30 14:10:00+05:30,86.9,Locked Profit Hit,86.9,51.9,True,10.0,662.5,750.0,87.5
2025-09-30 14:20:00+05:30,2025-09-30 14:25:00+05:30,300,BUY_PE,24700,89.2,2025-09-30 14:30:00+05:30,97.2,Safe SL Hit,97.2,64.2,True,8.0,512.5,600.0,87.5
2025-10-01 10:15:00+05:30,2025-10-01 10:20:00+05:30,300,BUY_CE,24750,81.6,2025-10-01 10:35:00+05:30,91.6,Locked Profit Hit,91.6,57.79,True,10.0,662.5,750.0,87.5
2025-10-01 10:55:00+05:30,2025-10-01 11:00:00+05:30,300,BUY_CE,24750,86.3,2025-10-01 11:20:00+05:30,107.99,ATR Trail Hit,107.99,66.28,True,21.69,1539.25,1626.75,87.5
2025-10-01 11:25:00+05:30,2025-10-01 11:30:00+05:30,300,BUY_CE,24750,113.85,2025-10-01 12:05:00+05:30,167.47,ATR Trail Hit,167.47,94.09,True,53.62,3934.0,4021.5,87.5
2025-10-01 12:10:00+05:30,2025-10-01 12:15:00+05:30,300,BUY_CE,24750,169.65,2025-10-01 12:30:00+05:30,144.65,SL Hit,144.65,144.65,False,-25.0,-1962.5,-1875.0,87.5
2025-10-01 12:40:00+05:30,2025-10-01 12:45:00+05:30,300,BUY_CE,24750,136.8,2025-10-01 13:25:00+05:30,155.05,MACD/EMA Exit,146.8,111.8,True,18.25,1281.25,1368.75,87.5
2025-10-01 14:20:00+05:30,2025-10-01 14:25:00+05:30,300,BUY_CE,24750,170.15,2025-10-01 14:35:00+05:30,178.15,Safe SL Hit,178.15,147.31,True,8.0,512.5,600.0,87.5
2025-10-01 14:40:00+05:30,2025-10-01 14:45:00+05:30,300,BUY_CE,24750,180.75,2025-10-01 15:25:00+05:30,177.25,EOD Exit,158.08,158.08,False,-3.5,-350.0,-262.5,87.5
2025-10-03 10:25:00+05:30,2025-10-03 10:30:00+05:30,300,BUY_CE,24800,102.6,2025-10-03 11:15:00+05:30,110.6,Safe SL Hit,110.6,77.6,True,8.0,512.5,600.0,87.5
2025-10-03 12:05:00+05:30,2025-10-03 12:10:00+05:30,300,BUY_CE,24800,119.15,2025-10-03 12:15:00+05:30,100.54,SL Hit,100.54,100.54,False,-18.61,-1483.25,-1395.75,87.5
2025-10-03 14:35:00+05:30,2025-10-03 14:40:00+05:30,300,BUY_CE,24800,126.1,2025-10-03 14:45:00+05:30,136.1,Locked Profit Hit,136.1,107.54,True,10.0,662.5,750.0,87.5
2025-10-03 15:00:00+05:30,2025-10-03 15:05:00+05:30,300,BUY_CE,24800,149.0,2025-10-03 15:25:00+05:30,145.75,EOD Exit,128.29,128.29,False,-3.25,-331.25,-243.75,87.5
2025-10-06 10:15:00+05:30,2025-10-06 10:20:00+05:30,300,BUY_CE,24950,73.15,2025-10-06 10:35:00+05:30,81.15,Safe SL Hit,81.15,53.41,True,8.0,512.5,600.0,87.5
2025-10-06 10:45:00+05:30,2025-10-06 10:50:00+05:30,300,BUY_CE,24950,74.85,2025-10-06 10:55:00+05:30,82.85,Safe SL Hit,82.85,56.3,True,8.0,512.5,600.0,87.5
2025-10-06 11:25:00+05:30,2025-10-06 11:30:00+05:30,300,BUY_CE,24950,101.9,2025-10-06 12:50:00+05:30,111.5,MACD/EMA Exit,109.9,83.59,True,9.6,632.5,720.0,87.5
2025-10-06 12:55:00+05:30,2025-10-06 13:00:00+05:30,300,BUY_CE,24950,123.25,2025-10-06 13:40:00+05:30,172.3,ATR Trail Hit,172.3,106.84,True,49.05,3591.25,3678.75,87.5
2025-10-06 13:55:00+05:30,2025-10-06 14:00:00+05:30,300,BUY_CE,24950,160.95,2025-10-06 14:50:00+05:30,168.95,Safe SL Hit,168.95,135.95,True,8.0,512.5,600.0,87.5
2025-10-06 14:55:00+05:30,2025-10-06 15:00:00+05:30,300,BUY_CE,24950,165.75,2025-10-06 15:25:00+05:30,153.5,EOD Exit,141.7,141.7,False,-12.25,-1006.25,-918.75,87.5
2025-10-07 10:20:00+05:30,2025-10-07 10:25:00+05:30,300,BUY_CE,25150,67.0,2025-10-07 10:30:00+05:30,75.0,Safe SL Hit,75.0,43.11,True,8.0,512.5,600.0,87.5
2025-10-07 10:40:00+05:30,2025-10-07 10:45:00+05:30,300,BUY_CE,25150,59.6,2025-10-07 11:20:00+05:30,34.6,SL Hit,34.6,34.6,False,-25.0,-1962.5,-1875.0,87.5
2025-10-07 12:00:00+05:30,2025-10-07 12:05:00+05:30,300,BUY_CE,25150,38.15,2025-10-07 13:20:00+05:30,62.0,ATR Trail Hit,62.0,18.96,True,23.85,1701.25,1788.75,87.5
2025-10-07 13:25:00+05:30,2025-10-07 13:30:00+05:30,300,BUY_CE,25150,61.7,2025-10-07 13:45:00+05:30,71.7,Locked Profit Hit,71.7,39.23,True,10.0,662.5,750.0,87.5
2025-10-07 14:00:00+05:30,2025-10-07 14:05:00+05:30,300,BUY_CE,25150,64.65,2025-10-07 14:25:00+05:30,39.65,SL Hit,39.65,39.65,False,-25.0,-1962.5,-1875.0,87.5
2025-10-07 14:55:00+05:30,2025-10-07 15:00:00+05:30,300,BUY_PE,25150,16.95,2025-10-07 15:25:00+05:30,41.6,EOD Exit,40.03,-0.79,True,24.65,1761.25,1848.75,87.5
2025-10-08 10:15:00+05:30,2025-10-08 10:20:00+05:30,300,BUY_PE,25150,95.2,2025-10-08 10:35:00+05:30,103.2,Safe SL Hit,103.2,73.47,True,8.0,512.5,600.0,87.5
2025-10-08 10:40:00+05:30,2025-10-08 10:45:00+05:30,300,BUY_PE,25150,100.35,2025-10-08 11:20:00+05:30,163.45,ATR Trail Hit,163.45,81.35,True,63.1,4645.0,4732.5,87.5
