EntryTime,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-10-08 11:00:00+05:30,SELL_PE,25100,108.35,2025-10-08 11:10:00+05:30,122.31,SL Hit,122.31,122.31,False,-13.96,-1047.0
2025-10-08 11:15:00+05:30,SELL_PE,25100,132.65,2025-10-08 11:15:00+05:30,119.65,SL Hit,119.65,149.57,True,13.0,975.0
2025-10-08 12:25:00+05:30,SELL_PE,25100,136.5,2025-10-08 12:45:00+05:30,111.8,MACD/EMA Exit,123.5,155.23,True,24.7,1852.5
2025-10-08 12:50:00+05:30,BUY_CE,25100,110.95,2025-10-08 13:20:00+05:30,123.95,SL Hit,123.95,97.38,True,13.0,975.0
2025-10-08 14:10:00+05:30,SELL_PE,25100,102.9,2025-10-08 14:55:00+05:30,119.19,SL Hit,119.19,119.19,False,-16.29,-1221.75
2025-10-08 15:00:00+05:30,SELL_PE,25100,114.25,2025-10-08 15:25:00+05:30,123.0,EOD Exit,133.0,133.0,False,-8.75,-656.25
2025-10-09 10:25:00+05:30,BUY_CE,25050,132.35,2025-10-09 10:35:00+05:30,145.35,SL Hit,145.35,107.3,True,13.0,975.0
2025-10-09 10:40:00+05:30,BUY_CE,25050,148.05,2025-10-09 11:00:00+05:30,161.05,SL Hit,161.05,126.04,True,13.0,975.0
2025-10-09 11:05:00+05:30,BUY_CE,25050,190.7,2025-10-09 11:35:00+05:30,203.7,SL Hit,203.7,167.42,True,13.0,975.0
2025-10-09 14:00:00+05:30,BUY_CE,25050,200.85,2025-10-09 14:10:00+05:30,183.23,SL Hit,183.23,183.23,False,-17.62,-1321.5
2025-10-09 14:15:00+05:30,SELL_PE,25050,44.75,2025-10-09 15:25:00+05:30,30.1,EOD Exit,31.75,51.02,True,14.65,1098.75
2025-10-10 14:55:00+05:30,BUY_CE,25150,227.0,2025-10-10 15:10:00+05:30,209.85,SL Hit,209.85,209.85,False,-17.15,-1286.25
2025-10-13 11:00:00+05:30,SELL_PE,25200,70.15,2025-10-13 11:20:00+05:30,83.63,SL Hit,83.63,83.63,False,-13.48,-1011.0
2025-10-13 14:25:00+05:30,BUY_CE,25200,93.6,2025-10-13 15:00:00+05:30,80.88,SL Hit,80.88,80.88,False,-12.72,-954.0
2025-10-13 15:05:00+05:30,SELL_PE,25200,42.35,2025-10-13 15:25:00+05:30,33.1,EOD Exit,51.93,51.93,False,9.25,693.75
2025-10-14 11:00:00+05:30,SELL_PE,25300,110.95,2025-10-14 11:15:00+05:30,145.76,SL Hit,145.76,145.76,False,-34.81,-2610.75
2025-10-14 11:20:00+05:30,SELL_PE,25300,170.9,2025-10-14 11:40:00+05:30,157.9,SL Hit,157.9,205.63,True,13.0,975.0
2025-10-14 12:10:00+05:30,SELL_PE,25300,187.65,2025-10-14 12:35:00+05:30,221.69,SL Hit,221.69,221.69,False,-34.04,-2553.0
2025-10-14 12:40:00+05:30,SELL_PE,25300,227.9,2025-10-14 12:45:00+05:30,214.9,SL Hit,214.9,261.61,True,13.0,975.0
2025-10-14 13:35:00+05:30,BUY_CE,25300,2.4,2025-10-14 13:50:00+05:30,1.6,SL Hit,1.6,1.6,False,-0.8,-60.0
2025-10-14 14:35:00+05:30,BUY_CE,25300,0.95,2025-10-14 15:25:00+05:30,0.05,EOD Exit,-0.1,-0.1,False,-0.9,-67.5
2025-10-15 10:20:00+05:30,BUY_CE,25200,201.45,2025-10-15 10:35:00+05:30,214.45,SL Hit,214.45,174.38,True,13.0,975.0
2025-10-15 10:55:00+05:30,BUY_CE,25200,231.05,2025-10-15 11:25:00+05:30,245.65,MACD/EMA Exit,244.05,209.44,True,14.6,1095.0
2025-10-15 13:00:00+05:30,BUY_CE,25200,241.2,2025-10-15 13:15:00+05:30,254.2,SL Hit,254.2,225.41,True,13.0,975.0
2025-10-15 13:20:00+05:30,BUY_CE,25200,255.8,2025-10-15 13:55:00+05:30,238.65,SL Hit,238.65,238.65,False,-17.15,-1286.25
2025-10-15 14:10:00+05:30,SELL_PE,25200,44.55,2025-10-15 15:25:00+05:30,43.65,EOD Exit,48.31,48.31,False,0.9,67.5
2025-10-16 12:15:00+05:30,BUY_CE,25400,167.5,2025-10-16 13:15:00+05:30,198.5,MACD/EMA Exit,180.5,154.24,True,31.0,2325.0
2025-10-16 14:00:00+05:30,BUY_CE,25400,225.35,2025-10-16 14:15:00+05:30,238.35,SL Hit,238.35,208.46,True,13.0,975.0
2025-10-16 14:25:00+05:30,BUY_CE,25400,245.2,2025-10-16 15:00:00+05:30,258.2,SL Hit,258.2,225.61,True,13.0,975.0
2025-10-17 10:20:00+05:30,BUY_CE,25550,187.75,2025-10-17 10:35:00+05:30,200.75,SL Hit,200.75,155.49,True,13.0,975.0
2025-10-17 11:00:00+05:30,BUY_CE,25550,253.9,2025-10-17 11:10:00+05:30,266.9,SL Hit,266.9,225.07,True,13.0,975.0
2025-10-17 12:25:00+05:30,BUY_CE,25550,276.0,2025-10-17 12:40:00+05:30,247.47,SL Hit,247.47,247.47,False,-28.53,-2139.75
2025-10-17 12:50:00+05:30,SELL_PE,25550,42.1,2025-10-17 13:10:00+05:30,48.23,SL Hit,48.23,48.23,False,-6.13,-459.75
2025-10-17 13:35:00+05:30,SELL_PE,25550,55.25,2025-10-17 14:05:00+05:30,32.65,MACD/EMA Exit,42.25,68.56,True,22.6,1695.0
2025-10-17 14:35:00+05:30,BUY_CE,25550,229.05,2025-10-17 15:25:00+05:30,197.25,EOD Exit,197.52,197.52,False,-31.8,-2385.0
2025-10-20 10:50:00+05:30,BUY_CE,25800,113.65,2025-10-20 11:35:00+05:30,80.33,SL Hit,80.33,80.33,False,-33.32,-2499.0
2025-10-20 12:00:00+05:30,BUY_CE,25800,71.05,2025-10-20 12:15:00+05:30,84.05,SL Hit,84.05,44.64,True,13.0,975.0
2025-10-20 12:50:00+05:30,BUY_CE,25800,100.45,2025-10-20 13:15:00+05:30,113.45,SL Hit,113.45,80.86,True,13.0,975.0
2025-10-20 13:50:00+05:30,SELL_PE,25800,7.25,2025-10-20 14:25:00+05:30,10.9,SL Hit,10.9,10.9,False,-3.65,-273.75
2025-10-20 15:05:00+05:30,BUY_CE,25800,44.5,2025-10-20 15:25:00+05:30,43.1,EOD Exit,16.15,16.15,False,-1.4,-105.0
